# rcut Energy(eV) RCUT1
2.00   -2502.453697
2.05   -2503.643014
2.10   -2504.557182
2.15   -2505.287272
2.20   -2505.823424
2.25   -2506.317169
2.30   -2506.651242
2.35   -2506.952607
2.40   -2507.191816
2.45   -2507.370529
2.50   -2507.536425
2.55   -2507.664464
2.60   -2507.779185
2.65   -2507.865972
2.70   -2507.941594
2.75   -2508.007108
2.80   -2508.058909
2.85   -2508.106156
2.90   -2508.142771
2.95   -2508.174038
3.00   -2508.201356
3.00   -2508.201356
3.05   -2508.223456
3.10   -2508.241900
3.15   -2508.257085
3.20   -2508.269110
3.25   -2508.280091
3.30   -2508.288341
3.35   -2508.295660
3.40   -2508.301498
3.45   -2508.306062
3.50   -2508.310086
3.55   -2508.313060
3.60   -2508.315595
3.65   -2508.318142
3.70   -2508.319579
3.75   -2508.320832
3.80   -2508.321732
3.85   -2508.322492
3.90   -2508.323060
3.95   -2508.323493
4.00   -2508.323847
4.05   -2508.324099
4.10   -2508.324317
4.15   -2508.324457
4.20   -2508.324570
4.25   -2508.324641
4.30   -2508.324697
4.35   -2508.324736
4.40   -2508.324756
4.45   -2508.324770
4.50   -2508.324775
4.55   -2508.324777
4.60   -2508.324776
4.65   -2508.324771
4.70   -2508.324768
4.75   -2508.324765
4.80   -2508.324762
4.85   -2508.324759
4.90   -2508.324758
4.95   -2508.324758
5.00   -2508.324759




